id;institutionType;name;voivodeship;county;community;city;street;houseNumber;localNumber;postalCode;geolocation;website;email;phone;capacity;kidsEnrolled;capacityKPO;capacityFERS;kidsEnrolledKPO;kidsEnrolledFERS;basicPricePerMonth;basicPricePerMonthKPOFERS;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended;longitude;latitude
10016/Z;Żłobek;"Niepubliczny Żłobek Integracyjny "" Wesołe Krasnoludki""";MAŁOPOLSKIE;limanowski;Łukowica;Przyszowa, wieś;;480;;34-604;"20.50262725969638;49.64058582290937";www.skrzatek.eu;boguslawadar@interia.pl;602280814;42;18.0;;;;;1500.0 zł;0.0 zł;;;;15.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;TAK;Re Bud Firma Usługowa Bogusława Darowska;;7371420378.0;120092696.0;7097/P;http://skrzatek.eu/;NIE;20.50262725969638;49.64058582290937
10017/Z;Żłobek;NURSING CARE MAGDALENA HARWAS;WIELKOPOLSKIE;pilski;Piła;Piła, miasto;ul. Podchorążych;18;A;64-920;"16.765641;53.158898";WWW.NURSINGCARE.PL;MAGDALENA_HARWAS@WP.PL;608163976;25;25.0;;;;;1500.0 zł;0.0 zł;;;;18.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 15.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 06:30-17:00 ;TAK;Magdalena Harwas;;7642533948.0;302622541.0;1237/P;;NIE;16.765641;53.158898
10018/Z;Klub dziecięcy;"Zespół Klubów Dziecięcych ""Bajkowa Przystań"" - Klub Dziecięcy ""Bajkowa Przystań 1""";LUBUSKIE;gorzowski;Deszczno;Maszewo, wieś;ul. Kręta;1A;;66-446;"15.3095025;52.662726";https://przedszkolewdeszcznie.edupage.org/;dyrektor.klubmalucha@deszczno.pl;957287672;30;0.0;;;;;731.0 zł;0.0 zł;;;;11.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Gmina Deszczno;ul. Lubuska 90 66-446 Deszczno;5992774930.0;210966935.0;11242/P;www.deszczno.pl;NIE;15.3095025;52.662726
10036/Z;Żłobek;"Żłobek ""MALUSZKOWO""";PODKARPACKIE;dębicki;Dębica;Dębica;ul. Paderewskiego;2;;39-200;"21.40247629101562;50.057107442271985";www.maluszkowo.com.pl;biuro@maluszkowo.com.pl;533324705;60;0.0;0.0;0.0;0.0;0.0;930.0 zł;0.0 zł;;;;16.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 12.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;TAK;W2 Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa; 372 36-052 Sokołów Małopolski, Nienadówka, wieś;5170362578.0;180967337.0;9932/P;www.maluszkowo.com.pl;NIE;21.40247629101562;50.05710744227199
10039/Z;Żłobek;"Niepubliczny Żłobek ""Kwiatuszki"" w Siemianicach";POMORSKIE;słupski;Redzikowo;Siemianice;ul. Spacerowa;2;;76-200;"17.06095;54.49525";;przedszkolekolorowe@gmail.com;603111574;20;20.0;0.0;0.0;0.0;0.0;480.0 zł;0.0 zł;;;160.0 zł;;;Godziny pracy: ;NIE;"Niepubliczny Żłobek ""Kwiatuszki""/Małgorzata Jażdzewska";;8431534383.0;221936354.0;7183/P;www.kwiatuszkizlobek.pl;NIE;17.06095;54.49525
10042/Z;Klub dziecięcy;"Niepubliczny Klub Dziecięcy ""Piaskowy Smok""";MAZOWIECKIE;nowodworski;Nowy Dwór Mazowiecki;Nowy Dwór Mazowiecki;ul. Sukienna;19;;05-100;"20.71775;52.433156";;piaskowysmok@wp.pl;534707608;22;22.0;0.0;0.0;0.0;0.0;1500.0 zł;0.0 zł;20.0 zł;;;18.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Julia Sochacka;;7772750199.0;146461127.0;11246/P;;NIE;20.71775;52.433156
10043/Z;Klub dziecięcy;"Akademia Rozwoju Dziecka ""Bajkowy Dworek"" ";LUBUSKIE;żarski;Lubsko;Białków, wieś;;22;;68-300;"15.022772;51.783824";https://www.facebook.com/bajkowydworek.k.zarnowska/;bajkowy.dworek@o2.pl;695040631;15;15.0;;;;;1400.0 zł;0.0 zł;;;;17.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 30.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Katarzyna Żarnowska; 22 68-300 Lubsko, Białków, wieś;6991677929.0;367099184.0;11267/P;;NIE;15.022772;51.783824
10044/Z;Żłobek;Niepubliczny Żłobek Smyki w Alwerni;MAŁOPOLSKIE;chrzanowski;Alwernia;Alwernia, miasto;ul. Marii Skłodowskiej-Curie;3E;;32-566;"19.54378688958168;50.06332561381049";www.smyki-zlobek.pl;zlobek.smyki.alwernia@gmail.com;510694781;30;29.0;0.0;0.0;0.0;0.0;1600.0 zł;0.0 zł;40.0 zł;;;18.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Niepubliczny Żłobek Smyki Monika Bakalarz;;6282077004.0;362369408.0;11434/P;www.smyki-zlobek.pl;NIE;19.54378688958168;50.06332561381049
10066/Z;Żłobek;Żłobek Rainbow;WIELKOPOLSKIE;Kalisz;Kalisz;Kalisz;ul. Jana Długosza;15;;62-800;"18.077164387969972;51.766351723457234";;maciej_jakubek@wp.pl;509442333;43;31.0;0.0;0.0;0.0;0.0;1050.0 zł;0.0 zł;;;650.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;Maciej Jakubek EKOMA;;6181847570.0;301965747.0;11273/P;;NIE;18.07716438796997;51.766351723457234
10091/Z;Żłobek;"Niepubliczny Żłobek ""Tygrysek""";WIELKOPOLSKIE;Konin;Konin;Konin;ul. Akacjowa;5;;62-510;"18.248025;52.243373";www.wiosnawsercu.pl;wiosnawsercu@gmil.com;510520886,697351500;15;6.0;0.0;0.0;0.0;0.0;1900.0 zł;0.0 zł;;;;20.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 07:00-16:00 ;NIE;"Fundacja ""Wiosna w Sercu""";ul.  Akacjowa 5 62-510 Konin, Konin, miasto;6652880131.0;300907742.0;157/P;www.wiosnawsercu.pl;NIE;18.248025;52.243373
