id;institutionType;name;localization;website;email;phone;capacity;kidsEnrolled;basicPricePerMonth;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended;voivodeship;county;city;address;latitude;longitude
1;Żłobek;"Niepubliczny Żłobek Integracyjny "" Wesołe Krasnoludki""";MAŁOPOLSKIE > Powiat limanowski > Łukowica > Przyszowa Przyszowa 480;www.skrzatek.eu;boguslawadar@interia.pl;602280814;42;15.0;1000.0 zł;;;;15.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:30 ;TAK;Re Bud Firma Usługowa Bogusława Darowska;;7371420378.0;120092696.0;7097/P;http://skrzatek.eu/;NIE;MAŁOPOLSKIE ;Powiat limanowski ;Łukowica ;Przyszowa Przyszowa 480;49.64062389999999;20.5026759
2;Żłobek;NURSING CARE MAGDALENA HARWAS;WIELKOPOLSKIE > Powiat pilski > Piła > Piła ul. Podchorążych 18 lok. A;WWW.NURSINGCARE.PL;MAGDALENA_HARWAS@WP.PL;608163976;25;25.0;550.0 zł;;;150.0 zł;;Zniżka - Wielodzietność/Karta Dużej Rodziny: 15.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 6:30-17:00 ;TAK;Magdalena Harwas;;7642533948.0;302622541.0;1237/P;;NIE;WIELKOPOLSKIE ;Powiat pilski ;Piła ;Piła ul. Podchorążych 18 lok. A;53.1583519;16.7646586
3;Klub dziecięcy;"Zespół Klubów Dziecięcych ""Bajkowa Przystań"" - Klub Dziecięcy ""Bajkowa Przystań 1""";LUBUSKIE > Powiat gorzowski > Deszczno > Maszewo ul. Kręta 1A;https://przedszkolewdeszcznie.edupage.org/;dyrektor.klubmalucha@deszczno.pl;95 728 76 72;30;30.0;636.3 zł;;;;11.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Deszczno;ul. Lubuska 90 66-446 Deszczno;5992774930.0;210966935.0;11242/P;www.deszczno.pl;NIE;LUBUSKIE ;Powiat gorzowski ;Deszczno ;Maszewo ul. Kręta 1A;52.6676951;15.3075503
4;Żłobek;"Żłobek ""MALUSZKOWO""";PODKARPACKIE > Powiat dębicki > Dębica > Dębica ul. Paderewskiego 2;www.maluszkowo.com.pl;biuro@maluszkowo.com.pl;533 324 705;60;37.0;930.0 zł;;;;16.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 12.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;TAK;W2 Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa; 372 36-052 Sokołów Małopolski, Nienadówka, wieś;5170362578.0;180967337.0;9932/P;www.maluszkowo.com.pl;NIE;PODKARPACKIE ;Powiat dębicki ;Dębica ;Dębica ul. Paderewskiego 2;50.0569509;21.4022593
5;Żłobek;"Niepubliczny Żłobek ""Kwiatuszki"" w Siemianicach";POMORSKIE > Powiat słupski > Redzikowo > Siemianice ul. Spacerowa 2;;przedszkolekolorowe@gmail.com;603111574;20;20.0;480.0 zł;;;160.0 zł;;;Godziny pracy: ;NIE;"Niepubliczny Żłobek ""Kwiatuszki""/Małgorzata Jażdzewska";;8431534383.0;221936354.0;7183/P;www.kwiatuszkizlobek.pl;NIE;POMORSKIE ;Powiat słupski ;Redzikowo ;Siemianice ul. Spacerowa 2;54.4954444;17.0612591
6;Klub dziecięcy;"Niepubliczny Klub Dziecięcy ""Piaskowy Smok""";MAZOWIECKIE > Powiat nowodworski > Nowy Dwór Mazowiecki > Nowy Dwór Mazowiecki ul. Sukienna 19;;piaskowysmok@wp.pl;534-707-608;22;22.0;1000.0 zł;20.0 zł;;;18.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Julia Sochacka;;7772750199.0;146461127.0;11246/P;;NIE;MAZOWIECKIE ;Powiat nowodworski ;Nowy Dwór Mazowiecki ;Nowy Dwór Mazowiecki ul. Sukienna 19;52.433176;20.7182951
7;Klub dziecięcy;"Akademia Rozwoju Dziecka ""Bajkowy Dworek"" ";LUBUSKIE > Powiat żarski > Lubsko > Białków Białków 22;https://www.facebook.com/bajkowydworek.k.zarnowska/;bajkowy.dworek@o2.pl;695040631;15;12.0;1150.0 zł;;;300.0 zł;;Zniżka - Rodzeństwo uczęszczające do instytucji: 30.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Katarzyna Żarnowska;;6991677929.0;367099184.0;11267/P;;NIE;LUBUSKIE ;Powiat żarski ;Lubsko ;Białków Białków 22;51.8024532;15.0438026
8;Żłobek;Niepubliczny Żłobek Smyki w Alwerni;MAŁOPOLSKIE > Powiat chrzanowski > Alwernia > Alwernia, miasto ul. Marii Skłodowskiej-Curie 3E;www.smyki-zlobek.pl;zlobek.smyki.alwernia@gmail.com;510694781;30;29.0;1600.0 zł;;;;17.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Niepubliczny Żłobek Smyki Monika Bakalarz;;6282077004.0;362369408.0;11434/P;www.smyki-zlobek.pl;NIE;MAŁOPOLSKIE ;Powiat chrzanowski ;Alwernia ;Alwernia, miasto ul. Marii Skłodowskiej-Curie 3E;50.0646087;19.5436581
9;Żłobek;Żłobek Rainbow;WIELKOPOLSKIE > Powiat Kalisz > Kalisz > Kalisz ul. Jana Długosza 15;;maciej_jakubek@wp.pl;509442333;43;26.0;350.0 zł;;;300.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;Maciej Jakubek EKOMA;;6181847570.0;301965747.0;11273/P;;NIE;WIELKOPOLSKIE ;Powiat Kalisz ;Kalisz ;Kalisz ul. Jana Długosza 15;51.7664262;18.0771081
10;Żłobek;"Żłobek Artystyczny - ""Bose Stópki"" S.C. Aneta Abram Justyna Klityńska";MAZOWIECKIE > Powiat Warszawa > Warszawa - Wola > Wola ul. Jana Olbrachta 26 lok. 1;;bosestopki.warszawa@gmail.com;698715748;15;15.0;1600.0 zł;;;;15.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:30 ;NIE;"BOSE STÓPKI"" - ŻŁOBEK ARTYSTYCZNY SPÓŁKA CYWILNA ANETA ABRAM, JUSTYNA KLITYŃSKA";ul.  Jana Olbrachta 26 lok. 1 01-111 Warszawa - Wola, Warszawa - Wola, dzielnica m. st. Warszawy;5272812341.0;367603004.0;11316/P;;NIE;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Wola ;Wola ul. Jana Olbrachta 26 lok. 1;52.23704189999999;20.9410829
