Typ instytucji;Nazwa;Lokalizacja instytucji;Adress WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Opłata miesięczna - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzacy - adres;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub;Czy podmiot prowadzący zawiesił działalność gospodarczą?
"Żłobek";"Niepubliczny Żłobek Smyki w Alwerni";"MAŁOPOLSKIE > Powiat chrzanowski > Alwernia > Alwernia, miasto ul. Marii Skłodowskiej-Curie 3E";"www.smyki-zlobek.pl";"zlobek.smyki.alwernia@gmail.com";"510694781";"30";"30";"1600.0 zł";;;;"17.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"Niepubliczny Żłobek Smyki Monika Bakalarz";;"6282077004";"362369408";"11434/P";"www.smyki-zlobek.pl";"NIE"
"Żłobek";"Żłobek ""Stonoga""";"MAŁOPOLSKIE > Powiat olkuski > Olkusz > Olkusz ul. Legionów Polskich 14 lok. 1";;"stonoga.olkusz@gmail.com";"509899388";"33";"30";"1000.0 zł";;;;"13.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"Aleksandra Świerczek";;"6372193866";"123156882";"2601/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek Gumisiowy Las";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Krowodrza > Kraków-Krowodrza ul. gen. Augusta Fieldorfa-Nila 17 lok. JU11 JU12";"www.gumisiowylas.pl";"konopabarbara@gmail.com";"538437437";"40";"31";"2240.0 zł";;;;"21.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 8.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ";"NIE";"Barbara Konopa";;"6612137957";"123082089";"11567/P";"www.gumisiowylas.pl";"NIE"
"Żłobek";"Żłobek Bystrzaki";"DOLNOŚLĄSKIE > Powiat kłodzki > Bystrzyca Kłodzka > Bystrzyca Kłodzka ul. Wojska Polskiego 20";;"bystrzaki@fep.edu.pl";"733101920";"32";"32";"1365.0 zł";;;;"19.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 27.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"Fundacja Edukacji Przedszkolnej";"pl. św. Macieja 2 50-244 Wrocław-Śródmieście, Wrocław-Śródmieście, delegatura";"8982112726";"020545528";"11941/P";"brak";"NIE"
"Żłobek";"Żłobek ""Tygrysek"" w Łańcucie";"PODKARPACKIE > Powiat łańcucki > Łańcut > Łańcut ul. Podzwierzyniec 41";"www.tygrysek-przedszkole.pl";"tygrysekbiuro@gmail.com";"785195063";"52";"37";"1090.0 zł";;;;"15.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ";"TAK";"Tygrysek S.C. E. Walawender i M. Golenia";" 350A 37-111 Rakszawa, Rakszawa, wieś";"8151797756";"180992588";"11939/P";"www.tygrysek-przedszkole.pl";"NIE"
"Klub dziecięcy";"KLUB MAŁEJ PSZCZÓŁKI II Joanna Majdzińska";"ŁÓDZKIE > Powiat łaski > Łask > Łask ul. Żytnia 2";;"asiamazur234@gmail.com";"665897488";"25";"0";;;"6.0 zł";;"18.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:15 ";"NIE";"""KLUB MAŁEJ PSZCZÓŁKI"" JOANNA MAJDZIŃSKA";;"8291695694";"361123770";"12037/P";;"TAK"
"Żłobek";"Niepubliczny Tęczowy Żłobek";"ŁÓDZKIE > Powiat poddębicki > Uniejów > Uniejów ul. Rzeczna 9B";"www.przedszkole-teczowe.pl";"a.plusa@g.pl";"691519555";"35";"27";"1000.0 zł";;;;"15.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"TAK";"Niepubliczne Tęczowe Przedszkole Agnieszka Płusa";;"8281072201";"101289732";"1700/P";"www.przedszkole-teczowe.pl";"NIE"
"Żłobek";" Żłobek Oddział nr 6 (Zespół Żłobka i Klubów Dziecięcych siedziba : ul.B.Prusa 253A, Sosnowiec)";"ŚLĄSKIE > Powiat Sosnowiec > Sosnowiec > Sosnowiec ul. Czołgistów 5";"http://www.zlobekmiejski.sosnowiec.pl";"zmsc@sosnowiec.edu.pl";" 32 263 61 71     32 263 24 18";"40";"39";"400.0 zł";"40.0 zł";;;"9.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"NIE";"Gmina Sosnowiec";"ul.  Aleja Zwycięstwa 20 41-200 Sosnowiec, Sosnowiec, miasto";"6443453672";"276255482";"488/P";"www.sosnowiec.pl";"NIE"
"Żłobek";"Żłobek ""Bajkowy Zakątek""";"MAZOWIECKIE > Powiat piaseczyński > Góra Kalwaria > Góra Kalwaria ul. Pijarska 23b";"bajkowyzakatek.com.pl";"bajkowyzakatek@wp.pl";"724617000";"1";"1";"900.0 zł";;;;"10.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-18:00 ";"NIE";"""Bajkowy Zakątek"" Kubicka Kubicki sp. j.";"ul.  Pijarska 23b 05-530 Góra Kalwaria, Góra Kalwaria, miasto";"1231225840";"146267224";"728/P";;"NIE"
"Żłobek";"Żłobek TUPTUSIE";"MAŁOPOLSKIE > Powiat oświęcimski > Oświęcim > Oświęcim ul. 11 Listopada 3F lok. 2";"facebook @ZlobekTuptusieOswiecim";"amajerczakanska@gmail.com";"+48789283760";"35";"33";"1550.0 zł";"25.0 zł";;;"15.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"Urszula Trojańska, Agnieszka Majer- Czakańska Spółka Cywilna";;"5492449629";"369192396";"12874/P";"brak";"NIE"
