old_name;new_name
Identyfikator instytucji;id
Typ instytucji;institutionType
Nazwa;name
Lokalizacja instytucji;localization
Województwo;voivodeship
Powiat;county
Gmina;community
Miejscowość;city
Ulica;street
Nr domu;houseNumber
Nr lokalu;localNumber
Kod pocztowy;postalCode
Geolokalizacja;geolocation
Adres WWW żłobka/klubu;website
E-mail żłobka/klubu;email
Telefon żłobka/klubu;phone
Liczba miejsc;capacity
Liczba miejsc ze środków KPO;capacityKPO
Liczba miejsc ze środków FERS;capacityFERS
Liczba dzieci zapisanych;kidsEnrolled
Liczba dzieci zapisanych na miejsca z KPO;kidsEnrolledKPO
Liczba dzieci zapisanych na miejsca z FERS;kidsEnrolledFERS
Opłata miesięczna - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);basicPricePerMonth
Opłata miesięczna na miejscach z KPO/FERS;basicPricePerMonthKPOFERS
Stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;extendedStayOver10H
Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);basicPricePerHour
Opłata za wyżywienie - miesięczna;foodPricePerMonth
Opłata za wyżywienie - dzienna;foodPricePerDay
Zniżki;discounts
Godziny otwarcia;openingHours
Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;isAdaptedToDisabledChildren
Podmiot prowadzący - nazwa;operatingEntityName
Podmiot prowadzący - adres;operatingEntityAddress
Podmiot prowadzący - NIP;operatingEntityNIP
Podmiot prowadzący - REGON;operatingEntityREGON
Podmiot prowadzący - numery pozycji rejestru;operatingEntityRegNoPosition
Adres WWW podmiotu prowadzącego żłobek/klub;operatingEntityWebsite
Czy podmiot prowadzący zawiesił działalność gospodarczą?;businessActivitySuspended
