Identyfikator instytucji;Typ instytucji;Nazwa;Województwo;Powiat;Gmina;Miejscowość;Ulica;Nr domu;Nr lokalu;Kod pocztowy;Geolokalizacja;Adres WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Liczba miejsc ze środków KPO;Liczba miejsc ze środków FERS;Liczba dzieci zapisanych na miejsca z KPO;Liczba dzieci zapisanych na miejsca z FERS;Podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia) - opłata miesięczna;Opłata miesięczna na miejscach z KPO/FERS;Stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Wydatki na funkcjonowanie – miesięcznie;W tym z programu Dofinansowanie wynagrodzeń;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Czy podmiot prowadzący zawiesił działalność instytucji opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzący - miejscowość;Podmiot prowadzący - ulica;Podmiot prowadzący - nr domu;Podmiot prowadzący - nr lokalu;Podmiot prowadzący - kod pocztowy;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub
"10016/Z";"Żłobek";"Niepubliczny Żłobek Integracyjny "" Wesołe Krasnoludki""";"MAŁOPOLSKIE";"limanowski";"Łukowica";"Przyszowa, wieś";;"480";;"34-604";"20.50262725969638;49.64058582290937";"www.skrzatek.eu";"boguslawadar@interia.pl";"602280814";"42";"22";;;;;1500.0;0.0;;;;15.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"NIE";"Re Bud Firma Usługowa Bogusława Darowska";;;;;;"7371420378";"120092696";"7097/P";"http://skrzatek.eu/"
"10017/Z";"Żłobek";"NURSING CARE MAGDALENA HARWAS";"WIELKOPOLSKIE";"pilski";"Piła";"Piła, miasto";"ul. Podchorążych";"18";"A";"64-920";"16.765641;53.158898";"WWW.NURSINGCARE.PL";"MAGDALENA_HARWAS@WP.PL";"608163976";"25";"25";;;;;1500.0;0.0;;;;18.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 15.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 06:30-17:00 ";"TAK";"NIE";"Magdalena Harwas";;;;;;"7642533948";"302622541";"1237/P";
"10018/Z";"Klub dziecięcy";"Zespół Klubów Dziecięcych ""Bajkowa Przystań"" - Klub Dziecięcy ""Bajkowa Przystań 1""";"LUBUSKIE";"gorzowski";"Deszczno";"Maszewo, wieś";"ul. Kręta";"1A";;"66-446";"15.3095025;52.662726";"https://przedszkolewdeszcznie.edupage.org/";"dyrektor.klubmalucha@deszczno.pl";"957287672";"0";"0";;;;;1500.0;0.0;;;;11.0;2633.05;397.49;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Gmina Deszczno";"Deszczno";"ul. Lubuska";"90";;"66-446";"5992774930";"210966935";"11242/P";"www.deszczno.pl"
"10036/Z";"Żłobek";"Żłobek ""MALUSZKOWO""";"PODKARPACKIE";"dębicki";"Dębica";"Dębica";"ul. Paderewskiego";"2";;"39-200";"21.40247629101562;50.057107442271985";"www.maluszkowo.com.pl";"biuro@maluszkowo.com.pl";"533324705";"60";"0";"0";"0";"0";"0";930.0;0.0;;;;16.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 12.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"NIE";"W2 Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa";"Nienadówka, wieś";;"372";;"36-052";"5170362578";"180967337";"9932/P";"www.maluszkowo.com.pl"
"10039/Z";"Żłobek";"Niepubliczny Żłobek ""Kwiatuszki"" w Siemianicach";"POMORSKIE";"słupski";"Redzikowo";"Siemianice";"ul. Spacerowa";"2";;"76-200";"17.06095;54.49525";;"przedszkolekolorowe@gmail.com";"603111574";"20";"20";"0";"0";"0";"0";480.0;0.0;;;160.0;;;;;"Godziny pracy: ";"NIE";"NIE";"Niepubliczny Żłobek ""Kwiatuszki""/Małgorzata Jażdzewska";;;;;;"8431534383";"221936354";"7183/P";"www.kwiatuszkizlobek.pl"
"10042/Z";"Klub dziecięcy";"Niepubliczny Klub Dziecięcy ""Piaskowy Smok""";"MAZOWIECKIE";"nowodworski";"Nowy Dwór Mazowiecki";"Nowy Dwór Mazowiecki";"ul. Sukienna";"19";;"05-100";"20.71775;52.433156";;"piaskowysmok@wp.pl";"534707608";"22";"22";"0";"0";"0";"0";1500.0;0.0;20.0;;;18.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Julia Sochacka";;;;;;"7772750199";"146461127";"11246/P";
"10043/Z";"Klub dziecięcy";"Akademia Rozwoju Dziecka ""Bajkowy Dworek"" ";"LUBUSKIE";"żarski";"Lubsko";"Białków, wieś";;"22";;"68-300";"15.022772;51.783824";"https://www.facebook.com/bajkowydworek.k.zarnowska/";"bajkowy.dworek@o2.pl";"695040631";"15";"15";;;;;1400.0;0.0;;;;17.5;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 30.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Katarzyna Żarnowska";"Białków, wieś";;"22";;"68-300";"6991677929";"367099184";"11267/P";
"10044/Z";"Żłobek";"Niepubliczny Żłobek Smyki w Alwerni";"MAŁOPOLSKIE";"chrzanowski";"Alwernia";"Alwernia, miasto";"ul. Marii Skłodowskiej-Curie";"3E";;"32-566";"19.54378688958168;50.06332561381049";"www.smyki-zlobek.pl";"zlobek.smyki.alwernia@gmail.com";"510694781";"30";"30";"0";"0";"0";"0";1800.0;0.0;40.0;;;18.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Niepubliczny Żłobek Smyki Monika Bakalarz";;;;;;"6282077004";"362369408";"11434/P";"www.smyki-zlobek.pl"
"10066/Z";"Żłobek";"Żłobek Rainbow";"WIELKOPOLSKIE";"Kalisz";"Kalisz";"Kalisz";"ul. Jana Długosza";"15";;"62-800";"18.077164387969972;51.766351723457234";;"maciej_jakubek@wp.pl";"509442333";"43";"31";"0";"0";"0";"0";1050.0;0.0;;;650.0;;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"NIE";"Maciej Jakubek EKOMA";;;;;;"6181847570";"301965747";"11273/P";
"10091/Z";"Żłobek";"Niepubliczny Żłobek ""Tygrysek""";"WIELKOPOLSKIE";"Konin";"Konin";"Konin, miasto";"ul. Akacjowa";"5";;"62-510";"18.248025;52.243373";"www.wiosnawsercu.pl";"wiosnawsercu@gmil.com";"510520886";"15";"9";;;;;1900.0;0.0;;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Fundacja ""Wiosna w Sercu""";"Konin, miasto";"ul. Akacjowa";"5";;"62-510";"6652880131";"300907742";"157/P";"www.wiosnawsercu.pl"
